DIASEMANA,MESOCU,ANOOCU,RHORA,REGION,PROVINCIA,TVIA,TIPOACCIDENTE,SALDOTRAG,MEDIOTRANS,VEHICHOQUE,VEHICUVOLC,VEHICUATRO,VEHICAIDA,VEHIDESLI,ESTRECON,APLASTAM
5,3,2007,11,9,23,1,1,2,6,7, , , , , , 
5,3,2007,1,10,32,1,3,1,25, , ,99, , , , 
5,3,2007,8,10,32,1,3,1,25, , ,99, , , , 
6,3,2007,1,8,11,4,1,1,2,1, , , , , , 
6,3,2007,7,5,21,4,1,1,2,99, , , , , , 
6,3,2007,6,3,6,4,2,1,1, ,1, , , , , 
6,3,2007,5,10,1,2,3,1,25, , ,99, , , , 
7,3,2007,10,10,32,1,1,1,2,1, , , , , , 
7,3,2007,10,2,28,1,2,1,4, ,4, , , , , 
7,3,2007,11,10,32,1,3,1,25, , ,99, , , , 
7,3,2007,8,8,11,4,5,1,2, , , , ,2, , 
7,3,2007,4,10,32,1,5,1,2, , , , ,2, , 
1,3,2007,5,7,22,3,1,1,2,2, , , , , , 
1,3,2007,11,3,6,4,1,1,2,3, , , , , , 
1,3,2007,8,8,11,4,1,1,2,4, , , , , , 
1,3,2007,1,1,9,4,1,1,2,99, , , , , , 
1,3,2007,10,3,6,4,2,1,1, ,1, , , , , 
1,3,2007,12,5,17,4,2,1,1, ,1, , , , , 
1,3,2007,11,10,32,1,2,3,1, ,1, , , , , 
1,3,2007,9,5,2,4,5,1,2, , , , ,2, , 
2,3,2007,8,4,27,4,1,1,1,4, , , , , , 
2,3,2007,3,10,1,2,1,1,4,4, , , , , , 
3,3,2007,12,1,18,4,1,1,2,1, , , , , , 
3,3,2007,3,1,18,4,1,1,2,4, , , , , , 
3,3,2007,4,10,32,1,3,1,25, , ,6, , , , 
3,3,2007,8,2,28,4,3,1,25, , ,8, , , , 
3,3,2007,3,7,22,4,3,1,25, , ,99, , , , 
4,3,2007,9,8,11,4,1,1,2,4, , , , , , 
4,3,2007,8,3,19,4,2,1,1, ,1, , , , , 
2,3,2007,10,9,23,3,1,1,2,2, , , , , , 
5,3,2007,8,5,21,1,3,1,25, , ,8, , , , 
5,3,2007,6,6,4,4,3,1,25, , ,18, , , , 
6,3,2007,7,2,28,1,1,1,1,5, , , , , , 
6,3,2007,4,8,11,4,1,1,2,2, , , , , , 
6,3,2007,2,8,11,4,1,1,2,99, , , , , , 
6,3,2007,6,2,24,4,1,1,4,5, , , , , , 
6,3,2007,11,5,21,4,2,1,1, ,1, , , , , 
6,3,2007,5,8,11,4,3,1,25, , ,3, , , , 
6,3,2007,12,10,32,1,3,1,25, , ,8, , , , 
7,3,2007,1,2,28,1,1,2,1,8, , , , , , 
7,3,2007,10,10,32,3,1,1,2,2, , , , , , 
7,3,2007,6,1,25,4,1,1,2,4, , , , , , 
7,3,2007,11,10,1,2,1,1,3,8, , , , , , 
7,3,2007,10,10,32,1,3,1,25, , ,1, , , , 
7,3,2007,9,1,9,4,4,1,4, , , ,4, , , 
7,3,2007,11,9,29,3,5,1,2, , , , ,2, , 
1,3,2007,5,2,24,4,1,1,2,2, , , , , , 
1,3,2007,11,5,21,4,1,2,2,4, , , , , , 
1,3,2007,5,10,32,1,5,1,2, , , , ,2, , 
1,3,2007,8,3,20,3,5,2,4, , , , ,4, , 
2,3,2007,6,1,25,3,1,1,2,3, , , , , , 
2,3,2007,7,5,21,4,1,1,2,4, , , , , , 
3,3,2007,8,2,13,1,1,1,2,4, , , , , , 
4,3,2007,6,6,10,4,3,1,25, , ,2, , , , 
4,3,2007,8,1,9,4,5,1,2, , , , ,2, , 
5,3,2007,9,2,28,4,3,1,25, , ,99, , , , 
6,3,2007,3,9,23,4,1,1,1,99, , , , , , 
6,3,2007,12,1,18,1,1,1,2,2, , , , , , 
6,3,2007,1,1,18,4,1,1,2,8, , , , , , 
4,3,2007,11,10,1,3,3,1,25, , ,99, , , , 
7,3,2007,7,10,1,3,1,1,2,1, , , , , , 
7,3,2007,4,1,9,4,1,1,2,1, , , , , , 
7,3,2007,5,10,1,3,1,1,2,2, , , , , , 
7,3,2007,3,9,29,4,1,1,2,2, , , , , , 
7,3,2007,5,4,15,4,3,1,25, , ,2, , , , 
7,3,2007,3,2,13,1,3,1,25, , ,99, , , , 
7,3,2007,5,1,18,4,5,1,2, , , , ,2, , 
5,3,2007,12,10,32,2,1,2,2,1, , , , , , 
1,3,2007,6,10,32,3,1,1,2,1, , , , , , 
1,3,2007,8,5,21,1,1,1,2,4, , , , , , 
1,3,2007,7,2,28,1,1,1,2,4, , , , , , 
1,3,2007,9,2,28,4,1,2,2,5, , , , , , 
1,3,2007,3,8,11,4,1,1,5,7, , , , , , 
1,3,2007,11,1,25,4,2,1,3, ,3, , , , , 
2,3,2007,4,5,21,1,3,1,25, , ,1, , , , 
2,3,2007,9,6,4,4,3,1,25, , ,4, , , , 
3,3,2007,1,1,18,4,1,1,2,2, , , , , , 
3,3,2007,10,4,5,4,1,1,2,3, , , , , , 
3,3,2007,3,6,4,3,1,2,2,4, , , , , , 
3,3,2007,6,10,32,1,1,1,3,3, , , , , , 
3,3,2007,5,10,32,2,3,1,25, , ,2, , , , 
3,3,2007,4,8,12,4,3,1,25, , ,18, , , , 
4,3,2007,7,1,9,4,1,1,2,1, , , , , , 
4,3,2007,5,8,12,4,1,1,2,2, , , , , , 
4,3,2007,7,2,28,1,3,1,25, , ,8, , , , 
5,3,2007,11,10,32,1,3,1,25, , ,8, , , , 
5,3,2007,1,10,32,1,1,2,1,4, , , , , , 
5,3,2007,12,10,1,3,1,1,2,2, , , , , , 
5,3,2007,3,10,32,1,1,2,5,4, , , , , , 
6,3,2007,7,10,32,2,1,1,2,1, , , , , , 
6,3,2007,8,5,17,4,2,1,4, ,4, , , , , 
6,3,2007,7,7,22,4,3,1,25, , ,2, , , , 
